P00027739T0000|5 28|gamma glutamyltransferase
P02022188A0112|38 40|BJ1
P02022920A0334|3 11|C4BP alpha
P02023097A0000|41 43|Rev
P02023421A0343|36 43|collagen
P02023904A0120|3 6|CDC7
P02026147A0000|11 53|Ca2+/calmodulin (CaM)-dependent protein kinase
P02030910A0000|33 36|ETS1
P02030910A1070|0 9|Polymerase
P02030910A1070|33 36|ETS1
P02034655A1224|3 8|alpha 4
P02034655T0000|27 34|integrin
P02041088A1053|98 140|the reporter chloramphenicol acetyltransferase
P02044950A0258|8 17|polymerase
P02045366A1149|38 41|KlaA
P02061333A0784|42 45|acvA
P02102823A0492|36 53|beta-glucuronidase
P02105497A1092|137 141|HSP70
P02107073A0584|38 42|STE18
P02110148A0423|99 101|IF2
P02115121A0000|67 98|alpha-ketoglutarate dehydrogenase
P02118525A0737|36 38|CCK
P02123877A1452|21 25|c-fos
P02123877A1452|29 33|egr-1
P02123877A1452|203 217|immediate-early
P02124710A0193|30 34|c-fos
P02124710A0193|38 42|c-jun
P02124710A1624|76 89|alpha I collagen
P02138707A0198|176 180|alpha
P02138915A1060|3 5|p36
P02143186A1306|33 36|AHA2
P02144610A1306|0 14|TCR alpha and beta
P02147223A1047|27 31|c-fos
P02154467A0709|3 5|PC2
P02154467A0709|82 86|furin
P02154474A1504|109 113|P-450
P02154686A0185|97 114|beta-galactosidase
P02157882T0000|58 62|v-abl
P02162467A0311|10 13|cytR
P02162467A0311|51 54|CytR
P02163347A0472|138 142|ets-1
P02163394T0000|3 6|sacT
P02164585A0416|3 6|TraD
P02164588A0266|13 14|HN
P02164637A0515|15 18|IRA2
P02165589A0888|45 49|c-jun
P02167321T0000|48 77|exon-located activator protein-2
P02174974A0000|113 116|xylR
P02176822A0000|22 27|kinase
P02182618A0168|55 91|chloramphenicol acetyltransferase (CAT)
P02188168A0000|5 23|beta 2-microglobulin
P02196565T0000|5 9|Gal11
P02200315A0278|6 16|IgM antibody
P02204029A0184|0 4|RNase
P02204029A0184|77 81|N-ras
P02204029A0184|145 149|N-ras
P02233715A0914|35 38|IL-6
P02236060A1671|80 94|N-myristoylated
P02236064A1178|0 7|S6 kinase
P02237431A0000|38 42|alpha
P02237431A0000|134 139|C alpha
P02241892A0681|77 87|sialophorin
P02247069A0261|3 6|TUP1
P02247081A0223|101 105|VPS34
P02252891T0000|0 12|65-kilodalton
P02253274A0000|133 137|mtDNA
P02256678A1224|89 93|HSC82
P02272095A0832|45 55|enkephalins
P02293664A0946|36 43|vimentin
P02298741A0809|55 65|alpha, beta,
P02307371A0263|195 199|c-myc
P02307850A1197|14 19|RNKP-1
P02320008A0651|33 49|alpha-tropomyosin
P02324104A0151|40 57|phosphotransferase
P02324104A1195|159 168|CeCAT alpha
P02330041A0335|167 170|rRNA
P02391344T0000|49 50|b5
P02403926A0307|43 67|beta gal-trk receptor kinase
P02405393T0000|66 72|c-ets-2
P02452313A0114|35 53|beta-adrenoreceptor
P02457922A0991|106 117|2.8-kilobase
P02466665A0202|8 18|IGF-binding
P02468795A1086|18 28|phosphatase
P02473907A1338|63 72|Fc epsilon R
P02473907A1338|147 156|Fc epsilon R
P02474093T0000|0 26|Angiotensin converting enzyme
P02474110A1039|54 80|angiotensin converting enzyme
P02475506A0878|42 51|polymerase
P02482293A1518|56 81|EGF-R tyrosine protein kinase
P02482511A0860|5 21|phosphodiesterase
P02483210A0000|58 64|trypsin
P02483438A0498|75 91|phosphodiesterase
P02498322A0226|11 21|DNA-protein
P02500432A1416|104 115|1.6-kilobase
P02507523A0791|3 6|ORF1
P02511430A0000|56 69|immunoglobulin
P02518691A0251|200 208|IL2R alpha
P02523800A1178|36 39|CHS1
P02528329A0000|50 60|F1F0-ATPase
P02536096A0327|100 131|chloramphenicol acetyltransferase
P02536096A0327|221 252|chloramphenicol acetyltransferase
P02543679A1291|68 71|DnaJ
P02555177A0488|78 81|COX1
P02555177A0488|124 127|COX3
P02555177A0488|150 153|COX1
P02555703T0000|0 13|Tyrosine kinase
P02555703T0000|136 140|c-myc
P02557217A0398|37 50|beta-endorphin
P02565807A1198|41 46|kinase
P02585492A1005|46 47|P7
P02585492A1005|103 104|P1
P02601707A0986|32 37|DNase I
P02648396A0565|33 37|c-jun
P02674674A1308|64 67|OBF1
P02686749A0000|161 179|beta 2-microglobulin
P02686985A0811|0 0|A
P02708353A1452|17 26|polymerase
P02711601A0601|32 42|phosphatase
P02714852T0000|26 30|HLA-C
P02761008X0000|5 18|cholinesterase
P02789217A1323|6 8|IL6
P02790009A1052|96 103|protease
P02796988A0735|22 24|Sp1
P02811378A0379|53 56|S100
P02824334A0972|23 31|G-protein
P02834843A0000|40 61|derivatives--rifabutin
P02844767A0191|42 46|petCA
P02844767A0596|43 46|psbB
P02846852A1459|11 21|polymerases
P02868446A0184|31 39|RPase beta
P02868446A0184|147 151|RPase
P02895754A0000|46 62|phosphodiesterase
P02901763A0977|230 242|mitochondrial
P02902927A0145|41 45|GHF-1
P02935638A0000|49 53|Spec1
P02941237A0160|146 170|(e.g., alkaline phosphatase
P02962859A0276|36 53|beta-galactosidase
P02970061A0271|3 7|RAD18
P02970640A0341|62 64|E1A
P02985820A1287|57 61|c-myc
P02987220A0472|31 42|8.5-kilobase
P02988457A0650|56 63|Bestatin
P02995967T0000|55 93|c-erbB-1/epidermal growth factor-receptor
P03001110A0546|79 113|self-phosphorylation, tyrosine kinase
P03001645A0785|11 14|his3
P03003695A0395|32 36|c-sis
P03004982A1094|49 51|FeS
P03013477A0000|259 266|ferritin
P03013477A0000|326 333|ferritin
P03014515T0000|5 23|alpha-galactosidase
P03015628A1078|169 192|serum alkaline phosphatase
P03016301A0605|8 12|v-myc
P03016301A0605|76 80|c-myc
P03023887A0470|0 7|Nuclease
P03023970A0922|113 115|p53
P03035056T0000|15 27|kappa antibody
P03036415T0000|11 25|cyclo-oxygenase
P03038643A1374|38 51|alpha-spectrin
P03038891A0935|63 65|p11
P03049570A1242|33 34|E2
P03053713A0752|18 21|DPM1
P03062370A0384|24 27|GCN3
P03065141A0448|99 102|citB
P03119227A0079|75 79|c-abl
P03119227A0079|182 195|tyrosine kinase
P03166458A1356|0 0|A
P03194410A0771|2 7|UOxase
P03194410A0771|95 100|UOxase
P03259437A0140|26 38|alpha-amylase
P03275873A0379|104 117|alpha-amanitin
P03319621A0707|34 37|beta
P03329716A0187|51 53|E1A
P03338154T0000|36 42|trypsin
P03346210A0000|67 80|tyrosine kinase
P03417668A1233|52 57|(alpha
P03443144A0409|11 18|esterase
P03499608A1054|91 106|beta-hydroxylase
P03507689A0000|191 208|beta-galactosidase
P03537686A0099|50 67|supF suppressor tRNA
P03537721A0491|60 63|PEP4
P03537721A0876|86 89|PEP4
P03543936A0000|3 5|rho
P03543936A0000|78 80|ras
P03696899T0001|10 23|erythropoietin
P03697971A0311|30 39|peroxidase
P03802195A0481|100 103|ToxR
P03878585A0507|124 131|flow/min
P03939317A0352|84 93|HS-protein
P03953361A0000|100 123|myocardial creatine kinase
P04013604A0412|92 103|slow-release
P04364369T0000|0 9|Pre-beta-1
P04843031T0000|11 31|galactosyltransferase
P04967824T0000|38 44|melanin
P05170106T0034|105 111|trypsin
P05567721T0000|15 29|thromboplastins
P05930797T0000|27 39|isoprecipitin
P06096863T0000|28 31|CYC1
P06208024A0168|37 42|DNase I
P06244732T0000|18 37|serum creatine kinase B
P06316347A0852|72 89|beta-galactosidase
P06318078T0000|37 41|gamma
P06318078T0000|94 98|alpha
P06325415A0757|129 131|Ad5
P06501086A0165|176 189|alpha-globulin
P06513456T0001|0 12|Adenyl cyclase
P06585277A0000|71 81|phosphatase
P06684624A0736|7 29|N-acetylglucosaminidase
P06689413A0174|92 97|K alpha
P06698047A0445|3 11|Prolactin
P06784123T0000|16 32|immunoglobulin C mu
P06795832A0148|30 40|HBe-antigen
P06795900A0000|23 37|cyclo-oxygenase
P06858805A0314|68 78|Trycophytin
P06895559A0000|54 70|phosphodiesterase
P06953957A0503|0 20|Whereas creatine kinase
P07062269A0798|29 42|opioid receptor
P07107462A0202|81 89|(increase
P07293100T0001|0 6|Gastrin
P07385933A0085|64 65|mu
P07473169A0133|104 111|catalase
P07478514A0237|28 32|B-myc
P07478523A0551|124 126|RET
P07487908A0230|61 96|chloramphenicol acetyltranferase (CAT)
P07488291A0934|41 52|somatostatin
P07489502A0000|17 19|NS1
P07490770A0267|17 20|coxI
P07494244A0335|61 65|c-fos
P07495726A1189|97 101|Bcl-2
P07496400A0525|35 39|HMGR1
P07496400A0525|107 112|HMGR1L
P07500386A0870|12 17|GapIII
P07500950A0000|29 32|rolC
P07500953A0305|4 7|ADR1
P07500953A0305|58 68|peroxisomal
P07500953A0305|101 104|ADR1
P07507207A0991|80 84|IRF-2
P07508954A0000|3 15|avidin-biotin
P07511496A1511|33 42|E-selectin
P07511818A0485|206 213|IFN-beta
P07516466A1054|184 187|CREB
P07516866A0000|136 145|polymerase
P07518561A0496|22 27|p72syk
P07518561A0496|35 48|tyrosine kinase
P07518578A0000|277 285|pp60c-src
P07519481A1275|156 160|c-kit
P07522163T0000|20 30|cytochrome c
P07526609A0736|59 61|PKR
P07528531A0904|18 22|G-CSF
P07528772A0616|111 134|glutathione S-transferase
P07528772A0616|273 279|TCR zeta
P07528772A0616|309 315|TCR zeta
P07530502A0974|85 89|c-kit
P07530502T0000|46 59|tyrosine kinase
P07530502T0000|89 93|c-kit
P07533758A1038|35 38|RfbA
P07533880T0000|3 6|FinO
P07534297A0141|74 87|AP endonuclease
P07535768A1076|0 3|HVH2
P07537362A1112|45 49|v-Src
P07537851A0891|156 160|IRF-1
P07540866A1069|55 63|MAP kinase
P07542616A0486|0 4|GCD10
P07544357A0808|147 150|CD44
P07547510A0261|244 252|HNF-3 beta
P07553942A0810|105 109|rps10
P07557446T0000|37 41|VCSA1
P07558583A0562|129 150|Src-like tyrosine kinase
P07559402A0622|66 72|kinase C
P07559524A0741|55 71|mitogen-activated
P07559650A0558|27 30|PCNA
P07565712A0286|26 29|LYS2
P07565776A0612|22 25|PBS2
P07575416A1970|98 104|PKC zeta
P07576307A0144|75 90|enkephalin (rENK)
P07579683A0660|86 90|c-myc
P07579695A0693|37 40|Mif2
P07580058A0000|88 107|plasminogen activator
P07582316A0696|33 37|(case
P07585559A0000|181 191|alpha-actin
P07588633A0362|19 23|c-fos
P07590283A0820|25 36|TdT::Pol beta
P07590283A0820|82 91|polymerase
P07592710T0000|3 22|interferon-inducible
P07592723A0814|102 104|PKC
P07592723A0814|134 136|PKC
P07592730A0204|8 13|TSG-14
P07592771A0258|8 23|beta 2-syntrophin
P07601445A0207|165 168|DEAD
P07605990A1110|70 75|GM-CSF
P07610052A1064|206 208|APP
P07615541T0000|56 79|porphobilinogen deaminase
P07616056A0278|4 5|mu
P07616563A0532|65 70|DNase I
P07616569A0168|111 123|dehydrogenase
P07616569A0168|150 155|ATPase
P07622058A0411|3 12|PEBP2 alpha
P07622521A0418|27 36|G beta gamma
P07623807A0162|43 47|Raf-1
P07623840A0352|78 83|kinase
P07623844A0639|14 18|Bcl-2
P07623844A0639|101 105|H-ras
P07626806A1098|3 6|RAT3
P07628389A0145|13 24|factor-alpha
P07628438T0000|13 27|insulin receptor
P07629103T0000|29 40|isoforms beta
P07629103T0000|112 122|beta-casein
P07629196A0274|130 152|kinase/stress-activated
P07629196A0274|160 165|kinase
P07633444T0000|65 73|WD-repeat
P07635572A1153|30 38|IFN-gamma
P07640309A0000|3 12|C-terminal
P07640309A0000|103 107|TCF-1
P07642538A0744|48 53|kinase
P07642544A0868|127 135|NF-kappa B
P07646439A0535|10 13|both
P07649098A0676|285 289|IGF-I
P07649098A0676|318 322|IGF-I
P07649098A0676|447 452|kinase
P07651131A1407|19 24|DNase I
P07651398A0257|11 14|dShc
P07651734A0961|43 48|LIMK-1
P07651734A0961|94 99|LIMK-2
P07652582A0000|0 8|INF-alpha
P07653812T0000|17 30|cholinesterase
P07655505A0527|21 24|GT-2
P07656588A0101|168 171|FUT2
P07657162A1412|39 43|LEF-1
P07665172A0000|86 100|tissue-specific
P07665567A0495|43 46|CD69
P07666414A0614|30 34|tmy-1
P07672821A0763|39 39|H
P07672822T0000|48 70|pre-T-cell receptor alpha
P07678006A0472|0 4|RNase
P07678051A1303|3 7|PDGFR
P07679390A0721|0 4|RNase
P07679390A0721|86 89|DDT1
P07682842A0294|107 112|fMLF-R
P07685263A0503|8 17|polymerase
P07685823A1234|76 81|DNase I
P07685874A0258|167 173|amylase
P07689154A0168|50 52|uPA
P07689154A0168|260 262|uPA
P07691885T0000|63 67|c-kit
P07691885T0000|137 141|c-kit
P07693132A0100|62 70|Zm-ERabp5
P07693672A0259|0 5|DNase I
P07693975T0000|0 19|Reverse transcriptase
P07693975T0000|23 30|protease
P07702752A0545|75 89|cAMP-stimulated
P07702752A0545|190 196|P450c17
P07704273A0000|125 138|beta-lactamase
P07707523A0704|26 34|NF-kappa B
P07720710A0861|9 12|HMG2
P07721878A1163|125 133|Fc epsilon
P07730273A1309|3 6|NarX
P07730273A1309|10 13|NarQ
P07730337A1439|12 20|PKC-gamma
P07730337T0000|42 56|neuron-specific
P07730337T0000|64 70|kinase C
P07731898A0823|216 223|catalase
P07737118A0317|55 58|LexA
P07737118A0317|71 73|GST
P07739382A0457|76 91|actin-associated
P07739544A0364|34 37|SGC1
P07742363A0941|108 119|casein kinase
P07745693A0914|32 43|Lb proteinase
P07748952A1329|179 183|RNase
P07758459A1277|11 14|AAC2
P07759525A0417|61 66|kinase
P07759525A0417|108 114|kinase I
P07759529A0288|64 72|gp91-phox
P07760790A0327|17 20|MEF2
P07760819A0731|59 74|PDGF beta receptor
P07760844A0413|79 83|c-fos
P07765118A0967|21 31|ACC-oxidase
P07768848A1880|56 59|cotE
P07774807A0405|3 6|bHLH
P07774807A0405|58 72|tissue-specific
P07779812A0000|3 7|c-myc
P07791760A0424|0 3|GnRH
P07791763T0000|29 43|insulin receptor
P07791763T0000|79 106|phosphatidylinositol 3-kinase
P07796935A0284|83 91|hTR alpha 1
P07796935A0284|100 111|c-erbA alpha 2
P07797077A0842|105 114|interferon
P07797583A0222|151 154|PCNA
P07797583A0222|241 244|PCNA
P07798134T0000|3 7|hsp70
P07798217T0095|24 31|kinase-3
P07799939A0628|3 9|27-base
P07799948A0777|66 76|Raf-1 kinase
P07799948A0777|115 119|Raf-1
P07799950A0282|63 74|somatostatin
P07803809A1852|52 62|beta-globin
P07803809A1852|88 101|tyrosine kinase
P07803809A1852|123 139|the protein kinase C
P07806507A0121|93 99|CD3 zeta
P07813466A0074|3 5|U14
P07814321A0850|14 17|prfA
P07814323A0313|43 46|FliQ
P07814405A1170|81 95|guanylyl cyclase
P07816025A0196|41 53|gamma-kafirin
P07816630A1333|81 93|beta-tubulin 2
P07828600A0095|55 66|gamma-globin
P07829519A1251|145 160|immunoglobulin mu
P07836218A0128|35 48|beta-endorphin
P07844155A0327|40 59|tyrosine phosphatases
P07854130T0000|3 6|pilE
P07857762A0611|3 11|MAP kinase
P07860208A0000|66 77|factor-alpha
P07862150A0429|114 121|TGF-beta
P07862162A0408|61 64|OPI1
P07863047A0229|29 31|ACE
P07865917A0191|98 100|ACE
P07867604A1777|31 58|inhibin/activin beta B-subunit
P07872673A0332|41 45|c-fos
P07872673A0332|107 111|c-fos
P07877619A1284|61 66|zif268
P07880442A0236|8 14|PKC beta
P07883167A0157|31 34|UPF3
P07885999A0000|77 86|tyrosinase
P07887226A0858|21 28|ferritin
P07887226A0858|65 83|transferrin receptor
P07888828A0765|43 49|RH-like
P07890674A0916|3 10|catenins
P07890674A0916|23 32|E-cadherin
P07890674A0916|54 56|APC
P07890674A0916|60 69|E-cadherin
P07890740A0997|3 6|PSD2
P07891713T0000|5 7|Maf
P07896088A0720|74 77|RAP1
P07896846T0000|105 115|beta-myosin
P07896852T0000|38 42|Egr-1
P07902532A1655|60 64|BOXF1
P07913891A0174|130 132|Hox
P07914192A0211|45 50|DNase I
P07914192A0211|207 210|HER2
P07914700A0000|31 48|alpha protein kinase
P07916689A1407|22 25|POT1
P07919540A0240|53 57|c-myc
P07919540A1119|52 56|c-Myc
P07926748A0383|0 3|NOT4
P07926789A0960|27 30|lacZ
P07929411A0087|49 58|Drosophila
P07933066T0000|108 112|E2F-1
P07933095A0000|157 159|Sp1
P07933107A0991|39 41|p54
P07933116A0412|3 5|p55
P07933116A0412|42 43|B-
P07935375A1197|30 32|ras
P07935383A0108|7 11|RNase
P07935447A0972|219 230|alpha-myosin
P07935451T0000|143 147|c-rel
P07935468T0000|12 16|c-fos
P07936650A1752|31 41|ets-1/ets-2
P07937147A0205|35 36|pi
P07937965T0000|6 10|c-myc
P07941750A0344|66 69|HyuA
P07945330A0103|58 62|Rex-1
P07945937A0358|97 100|Egr1
P07949164A0799|90 93|IL-6
P07951410A0647|154 158|E2F-1
P07951410A1332|0 2|E1A
P07957559A1557|93 100|S6 kinase
P07958920A1157|28 31|SNM1
P07958920A1157|57 61|RNase
P07959011A0379a|42 51|class-I ADH
P07959011A0379b|42 51|class-I ADH
P07961957A1565|96 104|alpha-MHC
P07964162A0941|46 54|MAP kinase
P07969116A0196|3 7|Nur77
P07969136A0273|114 122|NF-kappa B
P07969181A0313|123 125|p53
P07971709A0907|56 62|rhG-CSF
P07972237A0665|66 70|N-myc
P07981246A0112|158 162|c-fos
P07982964A1017|40 56|phosphodiesterase
P07983011A0617|157 175|kinase kinase kinases
P07988731A1301|69 71|GBF
P07999995A0000|0 13|A receptor-like
P08001136T0000|14 33|CDK-activating kinase
P08001792A0284|30 34|git10
P08001792A0284|90 105|adenylate cyclase
P08005230A0222|76 80|c-fos
P08007975A0000|3 6|IPL1
P08011166A0207|116 125|polymerase
P08013457A0342|71 92|tyrosine kinase receptor
P08016102A1238|73 81|NF-kappa B
P08021175A0486|92 108|cyclic AMP receptor
P08021177A0000|35 46|enterobactin
P08029334T0000|20 26|omega-3
P08034318A0724|129 132|NF-1
P08034680A0180|19 25|zeta PKC
P08034680A0180|35 43|NF-kappa B
P08034680A0180|88 100|I kappa B kinase
P08034741A0000|83 89|myosin I
P08039422A0000|3 23|nerve growth factor beta
P08044794A0000|42 44|p53
P08044802A0462|111 113|p53
P08049521T0000|84 92|pp60v-src
P08051074A0000|136 141|DNase I
P08051151A0347|72 95|transcription-polymerase
P08057833A0573|6 9|ParA
P08063108A0109|3 6|acfD
P08063766A0595|91 101|both kinases
P08063791A1370|120 122|Ras
P08063836A0904|28 32|c-myc
P08065324A0458|29 33|snRNA
P08067013T0001|27 57|creatine phosphokinase antibodies
P08070654A0574|43 57|calmodulin-like
P08072547T0000|40 54|H-Ras-activated
P08076631A0000|31 34|AP-1
P08083220A0988|75 79|c-fos
P08083963A0795|99 117|DNase I footprinting,
P08086450A0467|62 66|hATP1
P08093616A1214|0 5|DNase I
P08093616A1214|85 89|alpha
P08097732A0000|38 43|Spec2a
P08099443A0359|96 99|GCN2
P08101839A0000|48 51|mdr1
P08101843A0151|3 21|tyrosine hydroxylase
P08106313A1492|75 78|HrpS
P08106512A0522|116 132|(interferon-alpha
P08106512A0522|146 155|interferon
P08108343A0000|57 60|GnRH
P08111035A0098|103 120|beta-glucuronidase
P08118044A0318|0 5|GATA-1
P08119149A0000|13 24|factor-alpha
P08119907A0000|35 40|p21ras
P08119958A0273|149 153|PKC mu
P08123787A0554|47 50|HemB
P08124912A0456|71 93|LDH, beta 2-microglobulin
P08125319A1085|3 6|ipiO
P08125949A1162|101 105|rpl12
P08132541A0000|49 51|MAL
P08134108A0277|3 7|c-myc
P08134108A0277|19 29|alpha-actin
P08138180A0593|90 94|SPT10
P08139001A1235|52 54|NS1
P08139017A1465|111 115|Ets-1
P08139542T0000|43 46|CPA1
P08139914A0554|30 34|dnHLH
P08144037A0000|33 49|dithiol-reductase
P08144572A0786|104 108|Hsp70
P08144852A0000|189 207|11-beta-hydroxylase
P08145770A1078|53 55|PKC
P08149484A0151|65 67|PKC
P08149484A0151|86 88|PKC
P08149484A1551|57 59|PKC
P08157009T0000|26 29|APS1
P08157674T0000|63 76|tyrosine kinase
P08164680A1086|17 24|protease
P08178446A1160|46 48|ras
P08182041A1067|103 106|CREB
P08182056A0695|41 44|NQO1
P08182056A0695|85 88|NQO2
P08183552T0000|8 12|eps15
P08183915A0000|83 91|NF-kappa B
P08183915T0000|57 90|NF-kappa B gene generates I kappa B gamma
P08188603A0230|96 99|CPA2
P08195217A0799|108 113|37-kDa
P08206848A0296|10 13|pyrP
P08207805A0000|3 5|p53
P08208540A0000|19 23|NFKB2
P08209772A0167|3 5|ns2
P08219081A0000|3 8|PRB-1b
P08219081A0000|68 71|PR-1
P08220494A0231|68 72|cyt-1
P08223425T0000|8 11|SSS1
P08226616A0000|3 7|nit-3
P08226956A1397|68 71|fad7
P08228805A0540|123 136|tyrosine kinase
P08230452A0551|43 44|P1
P08232412A1342|3 8|lemdr1
P08234276A0556|87 95|NF-kappa B
P08251622A0000|62 65|napA
P08260635A0926|102 106|GAPDH
P08261398A0392|72 76|alpha
P08264631A0746|99 102|ADH2
P08268718A0676|5 8|bcl3
P08276234A0119|91 95|c-fos
P08276762T0000|72 72|2
P08276865A1188|3 8|kinase
P08281536A0626|0 12|Interleukin-6
P08286035A0587|142 151|polymerase
P08288240A1343|55 59|SCG10
P08288554A0295|37 40|HO-1
P08289783A0000|3 9|Oct-3/4
P08289831A0290|109 128|IFN-gamma-responsive
P08298129A0274|80 84|beta 3
P08298129T0000|59 63|beta 3
P08300527T0000|63 76|A decarboxylase
P08300611A0341|77 80|TraI
P08309953A0776|27 42|dopamine receptor
P08325883A0368|24 27|RBP1
